"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","690","A quote for more than the wallet balance is rejected at create","tests.integration","2026-07-23","passed","2026-07-23","","test_amount_validation","",""
"","373","Liveness: /health reports system metrics","tests.smoke","2026-07-23","passed","2026-07-23","","test_liveness","",""
"","912","A quote with a zero amount is rejected","tests.integration","2026-07-23","passed","2026-07-23","","test_amount_validation","",""
"","431","amountIn finer than the source quantityPrecision is rounded half-up","tests.integration","2026-07-23","passed","2026-07-23","","test_amount_validation","",""
"","6787","Converting the full wallet balance drains the wallet to exactly zero","tests.e2e","2026-07-23","passed","2026-07-23","","test_conversion","",""
"","394","Getting an unknown quote uuid returns 404","tests.integration","2026-07-23","passed","2026-07-23","","test_invalid_references","",""
"","0","Two concurrently accepted quotes both settle with their combined impact","tests.e2e","2026-07-23","skipped","2026-07-23","","test_quote_lifecycle","",""
"","7158","Conversion 987 TRX -> ETH settles with correct amounts","tests.e2e","2026-07-23","passed","2026-07-23","","test_conversion","",""
"","1085","A quote using another customer's wallet id is rejected and leaves it untouched","tests.integration","2026-07-23","passed","2026-07-23","","test_invalid_references","",""
"","435","A created quote echoes the requested pair, amount, and wallet ids","tests.integration","2026-07-23","passed","2026-07-23","","test_parity","",""
"","683","Accepting a quote does not move balances before settlement","tests.e2e","2026-07-23","passed","2026-07-23","","test_quote_timing","",""
"","150","Liveness: /echo round-trips an authenticated payload","tests.smoke","2026-07-23","passed","2026-07-23","","test_liveness","",""
"","12672","Two sequential conversions on one customer accumulate correctly","tests.e2e","2026-07-23","passed","2026-07-23","","test_quote_lifecycle","",""
"","7115","Conversion 1 ETH -> TRX settles with correct amounts","tests.e2e","2026-07-23","passed","2026-07-23","","test_conversion","",""
"","23006","A quote accepted late in its window still settles correctly","tests.e2e","2026-07-23","passed","2026-07-23","","test_quote_timing","",""
"","6368","Re-accepting a settled quote is rejected and does not convert twice","tests.e2e","2026-07-23","passed","2026-07-23","","test_quote_lifecycle","",""
"","377","Getting an unknown wallet id returns 404","tests.integration","2026-07-23","passed","2026-07-23","","test_invalid_references","",""
"","1108","The create response and an immediate get return the same quote","tests.integration","2026-07-23","passed","2026-07-23","","test_parity","",""
"","215","A quote reads identically via the list and the single-quote endpoint","tests.integration","2026-07-23","passed","2026-07-23","","test_parity","",""
"","695","A quote whose from currency mismatches the source wallet is rejected","tests.integration","2026-07-23","passed","2026-07-23","","test_invalid_references","",""
"","0","A quote with a negative amount is rejected","tests.integration","2026-07-23","skipped","2026-07-23","","test_amount_validation","",""
"","7506","An immediate second accept is rejected and the quote settles exactly once","tests.e2e","2026-07-23","passed","2026-07-23","","test_quote_lifecycle","",""
"","22408","An expired quote cannot be accepted and leaves balances untouched","tests.e2e","2026-07-23","passed","2026-07-23","","test_quote_timing","",""
"","586","A quote with an unknown currency code is rejected","tests.integration","2026-07-23","passed","2026-07-23","","test_invalid_references","",""
"","6451","Conversion 420 TRX -> USDT settles with correct amounts","tests.e2e","2026-07-23","passed","2026-07-23","","test_conversion","",""
"","699","Every wallet reads identically via the list and the single-wallet endpoint","tests.integration","2026-07-23","passed","2026-07-23","","test_parity","",""
"","0","Quote fee is consistent with its own reported amountIn","tests.integration","2026-07-23","skipped","2026-07-23","","test_amount_validation","",""
"","370","Accepting an unknown quote uuid returns 404","tests.integration","2026-07-23","passed","2026-07-23","","test_invalid_references","",""
